id,item_id,,tag_id,,score
1,1,クッキー,1,満腹感,2
2,1,,2,甘い,2
3,1,,3,サクサク,
4,2,ミニゼリー,1,満腹感,1
5,2,,2,甘い,1
6,2,,4,のどごし,
7,3,フルーツゼリー,1,満腹感,2
8,3,,2,甘い,1
9,3,,4,のどごし,
10,4,プリン,1,満腹感,2
11,4,,2,甘い,3
12,4,,4,のどごし,
13,4,,5,トッピング,
14,5,するめいか,1,満腹感,1
15,5,,6,しょっぱい,1
16,5,,7,噛みごたえ,
17,6,薄焼きせんべい,1,満腹感,2
18,6,,6,しょっぱい,2
19,6,,8,パリパリ,
20,7,厚焼きせんべい,1,満腹感,3
21,7,,6,しょっぱい,2
22,7,,7,噛みごたえ,
23,8,ポテトチップス,1,満腹感,3
24,8,,6,しょっぱい,4
25,8,,8,パリパリ,
26,9,カットバウム,1,満腹感,3
27,9,,2,甘い,2
28,9,,9,ふわふわ,
29,10,チキンナゲット,1,満腹感,4
30,10,,6,しょっぱい,3
31,11,焼きおにぎり,1,満腹感,4
32,11,,6,しょっぱい,3
33,12,カットロールケーキ,1,満腹感,4
34,12,,2,甘い,3
35,12,,9,ふわふわ,
36,13,肉まん,1,満腹感,5
37,13,,6,しょっぱい,3
38,13,,10,もちもち,
39,14,あんまん,1,満腹感,5
40,14,,2,甘い,5
41,14,,10,もちもち,
42,15,焼きそば,1,満腹感,5
43,15,,6,しょっぱい,5
44,16,パンケーキ,1,満腹感,5
45,16,,2,甘い,4
46,16,,9,ふわふわ,
47,16,,5,トッピング,
48,17,こんなおやつ,11,ひんやり,2
49,17,,12,フルーティー,
50,17,,13,シュワシュワ,3
51,17,,14,失敗しない,
52,18,そんなおやつ,15,秋,
53,18,,16,ほくほく,4
54,18,,17,アツアツ,4
55,18,,18,食物繊維,5
56,19,あんなおやつ,19,甘ずっぱい,2
57,19,,20,ビタミン,3
58,19,,21,病み上がり,
59,19,,22,あっさり,4
60,20,どんなおやつ,8,パリパリ,4
61,20,,23,スパイシー,2
62,20,,24,メキシカン,
63,20,,25,簡単,4
64,21,こんなお菓子,3,サクサク,2
65,21,,26,ほろ苦,1
66,21,,5,トッピング,
67,21,,27,親子クッキング,3
68,22,そんなお菓子,28,クリスマス,
69,22,,9,ふわふわ,3
70,22,,29,クリーミー,5
71,22,,30,アレルギー対策,
72,23,あんなお菓子,31,炊飯器レシピ,
73,23,,25,簡単,5
74,23,,9,ふわふわ,4
75,23,,2,甘い,1
76,24,どんなお菓子,32,デザート,
77,24,,33,中華,
78,24,,10,もちもち,3
79,24,,34,香ばしい,3
80,25,こんなご飯,35,甘辛,2
81,25,,36,まろやか,
82,25,,37,食欲増進,
83,25,,38,アジアン,
84,26,そんなご飯,39,具だくさん,3
85,26,,40,イタリアン,
86,26,,41,DHA,2
87,26,,42,プチ贅沢,3
88,27,あんなご飯,43,節約,4
89,27,,44,包丁いらず,
90,27,,45,カルシウム,1
91,27,,46,和風,
92,28,どんなご飯,47,弁当,
93,28,,27,親子クッキング,5
94,28,,19,甘ずっぱい,3
95,28,,48,カリカリ,1
96,29,こんなおかず,49,作り置き,
97,29,,50,時短,5
98,29,,51,郷土料理,
99,29,,18,食物繊維,2
100,30,そんなおかず,52,おもてなし,
101,30,,53,濃厚,4
102,30,,29,クリーミー,5
103,30,,17,アツアツ,3
104,31,あんなおかず,54,野菜嫌い克服,
105,31,,22,あっさり,3
106,31,,50,時短,4
107,31,,55,春,
108,32,どんなおかず,56,ジューシー,5
109,32,,1,満腹感,4
110,32,,57,たんぱく質,5
111,32,,58,じっくり,3
112,33,紙芝居1,59,ニコニコ,3
113,33,,60,食べ物,
114,33,,55,春,
115,34,紙芝居2,61,ワクワク,2
116,34,,62,乗り物,
117,35,紙芝居3,61,ワクワク,4
118,35,,63,冒険,
119,36,紙芝居4,64,笑い,5
120,36,,65,相撲,
121,37,紙芝居5,66,怖い,1
122,37,,67,おばけ,
123,37,,68,夏,
124,38,絵本1,64,笑い,3
125,38,,69,落語,
126,38,,70,冬,
127,39,絵本2,71,知的興味,2
128,39,,60,食べ物,
129,39,,15,秋,
130,40,絵本3,71,知的興味,3
131,40,,72,生き物,
132,40,,70,冬,
133,41,絵本4,73,悲しい,4
134,41,,62,乗り物,
135,42,絵本5,74,優しい,5
136,42,,75,友達,
137,43,こんな絵本,63,冒険,5
138,43,,76,躍動感,5
139,43,,67,おばけ,3
140,43,,77,犬,3
141,44,そんな絵本,78,ユーモア,2
142,44,,79,シュール,1
143,44,,80,リラックス,4
144,44,,81,猫,5
145,45,あんな絵本,28,クリスマス,1
146,45,,82,ハートフル,4
147,45,,83,感動,4
148,45,,84,うさぎ,1
149,46,どんな絵本,85,コミカル,3
150,46,,86,リズミカル,5
151,46,,87,好奇心,4
152,46,,81,猫,2
153,47,こんなカードゲーム,88,記憶力,2
154,47,,89,観察力,4
155,47,,90,瞬発力,3
156,47,,91,分かりやすい,4
157,48,こんなボードゲーム,92,計画性,4
158,48,,93,交渉力,2
159,48,,94,運要素,3
160,48,,58,じっくり,5
161,49,こんなブロック遊び,95,器用さ,3
162,49,,96,空間認識力,4
163,49,,97,創造性,5
164,49,,98,協力,1
165,50,こんな工作,95,器用さ,2
166,50,,99,家にある材料,
167,50,,100,リサイクル,
168,50,,101,的当て力,3
169,51,こんな鬼ごっこ,102,体力,4
170,51,,103,脚力,3
171,51,,98,協力,2
172,51,,91,分かりやすい,5
173,52,こんなボール遊び,104,投球力,5
174,52,,105,キャッチ力,3
175,52,,106,敏捷性,3
176,52,,98,協力,2
177,53,ドーンじゃんけん,94,運要素,
178,53,,107,走る,1
179,53,,108,リスク,1
180,54,カモンじゃんけん,94,運要素,
181,54,,107,走る,1
182,54,,98,協力,1
183,54,,108,リスク,1
184,55,条件ダッシュ,107,走る,2
185,55,,108,リスク,2
186,56,ハンカチ落とし,107,走る,2
187,56,,108,リスク,2
188,57,おしり鬼ごっこ,109,避ける,1
189,57,,108,リスク,2
190,57,,98,協力,1
191,58,代わり鬼ごっこ,107,走る,3
192,58,,109,避ける,2
193,58,,108,リスク,3
194,58,,98,協力,1
195,59,こおり鬼ごっこ,107,走る,3
196,59,,109,避ける,2
197,59,,98,協力,2
198,59,,108,リスク,3
199,60,バナナ鬼ごっこ,107,走る,3
200,60,,109,避ける,2
201,60,,98,協力,3
202,60,,108,リスク,3
203,61,ボール転がし的当て,110,狙う,1
204,62,ボール投げ的当て,110,狙う,2
205,63,転がしドッジボール,110,狙う,2
206,63,,109,避ける,3
207,63,,98,協力,1
208,63,,108,リスク,2
209,64,中当てドッジボール,110,狙う,3
210,64,,109,避ける,3
211,64,,98,協力,1
212,64,,108,リスク,2
213,65,キャッチボール(ドッジ用),110,狙う,2
214,65,,111,キャッチ,1
215,65,,98,協力,3
216,65,,108,リスク,1
217,66,パスリレー(ドッジ用),110,狙う,2
218,66,,111,キャッチ,2
219,66,,98,協力,2
220,66,,108,リスク,1
221,67,アメリカンドッジボール,110,狙う,3
222,67,,111,キャッチ,3
223,67,,108,リスク,2
224,68,外野なしドッジボール,110,狙う,4
225,68,,109,避ける,4
226,68,,98,協力,3
227,68,,108,リスク,4
228,69,王様ドッジボール,110,狙う,4
229,69,,109,避ける,4
230,69,,98,協力,4
231,69,,108,リスク,4
232,70,隠し王様ドッジボール,110,狙う,4
233,70,,109,避ける,4
234,70,,98,協力,5
235,70,,108,リスク,4
236,71,外野ありドッジボール,110,狙う,4
237,71,,109,避ける,5
238,71,,98,協力,5
239,71,,108,リスク,4
240,72,三歩ドッジボール,107,走る,3
241,72,,110,狙う,5
242,72,,109,避ける,4
243,72,,108,リスク,5
